Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  76, time= 17.5s | Train: skip eval | Valid: time= 15.1s loss=1.242, TAw acc= 62.8% | lr=1.2e-03
| Epoch  77, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.218, TAw acc= 62.6% | *
| Epoch  78, time= 17.7s | Train: skip eval | Valid: time= 13.9s loss=1.238, TAw acc= 62.4% |
| Epoch  79, time= 17.7s | Train: skip eval | Valid: time= 14.0s loss=1.217, TAw acc= 63.3% | *
| Epoch  80, time= 17.9s | Train: skip eval | Valid: time= 13.8s loss=1.242, TAw acc= 62.6% |
| Epoch  81, time= 17.6s | Train: skip eval | Valid: time= 13.9s loss=1.220, TAw acc= 62.6% |
| Epoch  82, time= 17.5s | Train: skip eval | Valid: time= 13.8s loss=1.233, TAw acc= 62.0% |
| Epoch  83, time= 17.5s | Train: skip eval | Valid: time= 13.9s loss=1.225, TAw acc= 62.1% |
| Epoch  84, time= 17.5s | Train: skip eval | Valid: time= 13.8s loss=1.231, TAw acc= 62.5% | lr=4.1e-04
| Epoch  85, time= 16.0s | Train: skip eval | Valid: time= 13.3s loss=1.233, TAw acc= 62.4% |
| Epoch  86, time= 16.6s | Train: skip eval | Valid: time= 13.8s loss=1.223, TAw acc= 62.4% |
| Epoch  87, time= 16.1s | Train: skip eval | Valid: time= 13.1s loss=1.218, TAw acc= 62.6% |
| Epoch  88, time= 15.9s | Train: skip eval | Valid: time= 13.2s loss=1.226, TAw acc= 62.4% |
| Epoch  89, time= 16.0s | Train: skip eval | Valid: time= 13.3s loss=1.229, TAw acc= 62.5% | lr=1.4e-04
| Epoch  90, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=1.225, TAw acc= 61.8% |
| Epoch  91, time= 16.4s | Train: skip eval | Valid: time= 13.2s loss=1.234, TAw acc= 62.0% |
| Epoch  92, time= 16.0s | Train: skip eval | Valid: time= 13.1s loss=1.220, TAw acc= 63.1% |
| Epoch  93, time= 16.1s | Train: skip eval | Valid: time= 13.1s loss=1.223, TAw acc= 62.9% |
| Epoch  94, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=1.241, TAw acc= 62.2% | lr=4.6e-05
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.319 | TAw acc= 60.6%, forg=  0.0%| TAg acc= 60.6%, forg=  0.0% <<<
Save at ../results\cifar100_finetuning
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 16.0s | Train: skip eval | Valid: time= 13.3s loss=2.422, TAw acc= 32.7% | *
| Epoch   2, time= 17.6s | Train: skip eval | Valid: time= 13.6s loss=2.351, TAw acc= 35.7% | *
| Epoch   3, time= 15.9s | Train: skip eval | Valid: time= 13.3s loss=1.888, TAw acc= 43.0% | *
| Epoch   4, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=1.871, TAw acc= 44.7% | *
| Epoch   5, time= 16.0s | Train: skip eval | Valid: time= 13.3s loss=1.595, TAw acc= 52.9% | *
| Epoch   6, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=2.112, TAw acc= 44.6% |
| Epoch   7, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=1.948, TAw acc= 45.3% |
| Epoch   8, time= 15.9s | Train: skip eval | Valid: time= 13.1s loss=2.027, TAw acc= 45.5% |
